id,age,income,join_date,label,text_amazing support,text_bad experience,text_best experience,text_disappointed,text_excellent quality,text_friendly staff,text_great service,text_happy with purchase,text_loved it,text_not satisfied,text_poor quality,text_slow response,text_terrible support,text_unhelpful staff,text_very satisfied,text_worst ever,gender_F,gender_M
31,39.5,40647,23-07-2023 00:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
68,42,51606,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
63,33,44599,06-11-2023 12:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,54,43121,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
43,21,40893,07-01-2024 00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
41,28,70941,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
91,52,55945,11-03-2023 00:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
46,39.5,43403,01-03-2023 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11,43,34014,06-11-2023 12:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,58,56641,26-01-2024 00:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,49,30784,09-04-2024 00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
32,56,38716,06-11-2023 12:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,31,64699,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
86,30,500000,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,34,69567,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5,40,30569,06-11-2023 12:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,26,47019,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
34,40,52009,15-06-2023 00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13,59,48070,18-10-2024 00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
27,46,49190,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
84,27,999999,06-11-2023 12:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
54,21,61289,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,52,42533,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
69,59,51699,06-11-2023 12:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
45,47,52386,06-11-2023 12:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
99,53,39204,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
16,41,40729,28-10-2023 00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
74,45,69734,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
40,33,36655,15-05-2024 00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,39.5,37455,29-11-2024 00:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
85,39.5,38311,14-08-2023 00:00,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,55,41093,06-11-2023 12:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
56,23,72675,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
29,35,68754,06-11-2023 12:00,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,34,33051,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
6,58,68210,06-11-2023 12:00,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
79,44,67233,13-12-2023 00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,27,78747,06-11-2023 12:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,58,75091,06-11-2023 12:00,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
17,21,64177,06-11-2023 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
92,39.5,55316,06-11-2023 12:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
